Order,Level,Award,Name,Citation,County
Members of the Order of the Companions of Honour,CH,Companion of Honour,Sir Neville MARRINER CBE,Conductor. For services to Music.,London
Members of the Order of the Companions of Honour,CH,Companion of Honour,Rt Hon Lord Harry Kenneth WOOLF FBA (HON),For services to the public and community relations.,London
Knighthoods,Kt,Knight Bachelor,Mr Henry ANGEST ,"National Treasurer, Conservative Party. For political service.",London
Knighthoods,Kt,Knight Bachelor,Professor Harshad Kumar Dharamshi BHADESHIA FRS FRENG,"Tata Steel Professor of Metallurgy, University of Cambridge. For services to Science and Technology.",Cambridgeshire
Knighthoods,Kt,Knight Bachelor,Rt Hon Simon Hugh McGuigan BURNS MP,Member of Parliament for Chelmsford. For parliamentary and political service.,Essex
Knighthoods,Kt,Knight Bachelor,Dr Philip Henry Montgomery CAMPBELL ,"Editor in Chief, Nature. For services to Science.",London
Knighthoods,Kt,Knight Bachelor,Dr Kevan Arthur COLLINS ,"Chief Executive, Education Endowment Foundation.  For services to Education.",London
Knighthoods,Kt,Knight Bachelor,Dr Naim Eliahou DANGOOR CBE,Philanthropist. For charitable services.,London
Knighthoods,Kt,Knight Bachelor,Mr Michael Lawrence DAVIS ,"Chair, Prime Minister's Holocaust Commission. For services to Holocaust Commemoration and Education.",London
Knighthoods,Kt,Knight Bachelor,Mr Ciaran Gearoid DEVANE ,"Lately Chief Executive, Macmillan Cancer Support. For services to Cancer Patients.",London
Knighthoods,Kt,Knight Bachelor,Professor Charles Peter DOWNES OBE FRSE,"Principal and Vice-Chancellor, University of Dundee. For services to Higher Education and Life Sciences.",Fife
Knighthoods,Kt,Knight Bachelor,Mr Gareth Owen EDWARDS CBE,For services to Sport and for charitable services.,Mid Glamorgan
Knighthoods,Kt,Knight Bachelor,Mr Bernard Peter GRAY ,"Chief of Defence Materiel, Ministry of Defence. For public service, particularly to Defence.",Oxfordshire
Knighthoods,Kt,Knight Bachelor,Mr Patrick HEAD FRENG,"Lately Director, Williams Hybrid Power Ltd. For services to Motorsport.",London
Knighthoods,Kt,Knight Bachelor,Mr Lenworth George HENRY CBE,Actor and Comedian. For services to Drama and charity.,London
Knighthoods,Kt,Knight Bachelor,Rt Hon Simon Henry Ward HUGHES ,Lately Member of Parliament for Bermondsey and Old Southwark. For public and political service.,London
Knighthoods,Kt,Knight Bachelor,Mr Thomas JEFFERY CB,"Lately Director General, Department for Education, Children's Services and Departmental Strategy Directorate. For services to the Department for Education.",East Sussex
Knighthoods,Kt,Knight Bachelor,Dr Karl William Pamp JENKINS CBE,Composer. For services to Composing and Crossing Musical Genres.,London
Knighthoods,Kt,Knight Bachelor,Mr Paul Stephen KENNY ,"General Secretary, GMB Union. For service to Trade Unions.",London
Knighthoods,Kt,Knight Bachelor,Dr James Loy MACMILLAN CBE,Composer and Conductor.  For services to Music.,Glasgow
Knighthoods,Kt,Knight Bachelor,Mr Francis MCLOUGHLIN CBE,"Principal, City and Islington College and Chair, Commission on Adult Vocational Teaching and Learning.  For services to Further Education.",London
Knighthoods,Kt,Knight Bachelor,Mr Iain Macleod MCMILLAN CBE,For services to the Scottish Economy.,Stirling and Falkirk
Knighthoods,Kt,Knight Bachelor,Mr George Ivan MORRISON OBE,For services to the Music Industry and to Tourism in Northern Ireland.,Down
Knighthoods,Kt,Knight Bachelor,Professor Stephen John NICKELL CBE FBA,Economist. For services to Economics.,Oxfordshire
Knighthoods,Kt,Knight Bachelor,Dr Nicholas Beaver PENNY ,"Director, National Gallery. For services to the Arts.",London
Knighthoods,Kt,Knight Bachelor,Professor Munir Hussein PIRMOHAMED ,"David Weatherall, Chair of Medicine, University of Liverpool.  For services to Medicine.",Merseyside
Knighthoods,Kt,Knight Bachelor,Mr Gary Keith VERITY ,"Chief Executive, Welcome to Yorkshire.  For services to Tourism and the Tour De France Grand Depart 2014.",North Yorkshire
Knighthoods,Kt,Knight Bachelor,Professor Ian Vincent Derrick WELLER ,"Emeritus Professor of Sexually Transmitted Diseases, Department of Infection and Population Health.  For services to HIV Research.",Lincolnshire
Knighthoods,Kt,Knight Bachelor,Mr Nicholas John WELLER ,"Executive Principal, Dixons Academies, Bradford. For services to Education.",West Yorkshire
Knighthoods,Kt,Knight Bachelor,Mr Adrian Edwin WHITE CBE DL,For services to International Trade and Investment.,Surrey
Knighthoods,Kt,Knight Bachelor,Mr Andreas WHITTAM SMITH CBE,"For public service, particularly to the Church of England.",London
Knights Grand Cross of the Order of the Bath,GCB,Knight Grand Cross of the Order of the Bath,Sir Nicholas MACPHERSON KCB,"Permanent Secretary, HM Treasury. For public service.",London
Dames Commander of the Order of the Bath,DCB,Dame Commander of the Order of the Bath,Ms Una O'BRIEN CB,"Permanent Secretary, Department of Health. For public service, particularly to Healthcare.",London
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Dawn BRODRICK ,"Director, People, Capability and Change, Department for Communities and Local Government.  For services to Public Administration.",Surrey
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr William David Adams HAIRE ,"Permanent Secretary, Department for Social Development Northern Ireland Executive.  For services to Government in Northern Ireland.",Antrim
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Oliver ROBBINS ,"Director General, Civil Service, Cabinet Office.  For public service.",London
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Jacqueline SHARPE ,"Acting Clerk Assistant, House of Commons. For parliamentary service.",London
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mrs Helen SHIRLEY-QUIRK ,"Director, Emergency Preparedness, Resilience and Response, Department of Health.  For services to Public Health Protection.",Berkshire
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Patsy WILKINSON MBE,Ministry of Defence.  For services to Defence.,London
Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Peter Richard WORRALL OBE,"Chief of Materiel (Joint Enablers), Ministry of Defence. For services to Defence.",Wiltshire
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Frances Mary ASHCROFT FRS,"Professor of Physiology, University of Oxford.  For services to Medical Science and the Public Understanding of Science.",Oxfordshire
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Victoria Geraldine BRUCE OBE FBA FRSE,"Vice-President for Public Engagement, British Academy and Professor of School of Psychology, Newcastle University.  For services to Higher Education and Psychology.",Northumberland
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Frances Anne CAIRNCROSS CBE FRSE,"Lately Rector, Exeter College, University of Oxford. For services to Higher Education and to Economics.",London
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Lesley Anne GLOVER CBE FRSE,Lately Chief Scientific Adviser to the President of the European Commission.  For services to Science.,Aberdeenshire
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Zarine KHARAS ,"Founder and Chief Executive, JustGiving.com.  For services to Business and Charity.",London
Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Dr Nemat Talaat SHAFIK ,"Lately Deputy Managing Director, International Monetary Fund. For services to Public Administration and the Global Economy.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert Gribben ADAIR ,"Chief Executive, Belfast Harbour Commissioners. For services to the UK Ports Industry and voluntary service to Business in Northern Ireland.",Belfast
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr James Noel ADAMS FBA,"Emeritus Fellow, All Souls College, University of Oxford.  For services to Latin Scholarship.",Cheshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alexander Beveridge ANDERSON OBE DL FRENG,"Chair, Tees Valley Local Enterprise Partnership.  For services to the Tees Valley Region.",Durham
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Jane ANDERSON ,"Consultant Physician and Director, Centre for the Study of Sexual Health and HIV, Homerton Hospital.  For services to HIV Medicine and Sexual Health Research.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Clarissa Mary BALDWIN OBE,"Lately Chief Executive, Dogs Trust. For services to Animal Welfare.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Maria Jane BALSHAW ,"Director, Whitworth Art Gallery and Manchester Art Gallery. For services to the Arts.",Greater Manchester
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan Roy BLAIR ,Documentary Filmmaker. For services to Film.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Thomas Michael BOND OBE,Author. For services to Children's Literature.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John Richard BRADLEY ,"Consultant Physician and Nephrologist, Cambridge University Hospitals NHS Foundation Trust.  For services to Health Research.",Cambridgeshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Roderick Hilary BROOKS ,Philanthropist.  For charitable services through the Rory and Elizabeth Brooks Foundation and to the Brooks World Poverty Institute at the University of Manchester.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Donal BROWN ,"Lately Director, UK Joint Ebola Taskforce.  For services to International Development.",Hampshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robin BUDENBERG ,"Lately Chairman, UK Financial Investments. For services to Taxpayers and the Economy.",Essex
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Neill BULL ,"Chief Executive, UNICEF UK. For humanitarian services.",Buckinghamshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Carol BURKE FRENG,"Managing Director, Unipart Manufacturing Group.  For services to Engineering.",West Midlands
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Graham Douglas CAIE ,For services to Education and Research in Britain and Europe and to Native Languages.,Glasgow
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John Charles CATER ,"Vice-Chancellor, Edge Hill University.  For services to Higher Education and Teacher Training.",Greater Manchester
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan CHURCH ,"Artistic Director, Chichester Festival Theatre.  For services to the Theatre.",West Sussex
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Greg CLARK ,For services to Economic Development.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John CONNAGHAN ,"Director for Health Workforce and Performance, Scottish Government. For services to NHS Scotland.",Edinburgh
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Julian Moray CRAMPTON DL,"Vice Chancellor, University of Brighton.  For services to Higher Education.",East Sussex
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Benedict Timothy Carlton CUMBERBATCH ,Actor.  For services to the Performing Arts and to Charity.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Nicola Whitmount DANDRIDGE ,"Chief Executive, Universities UK.  For services to Higher Education.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Priscilla Elizabeth DAVIES OBE,For voluntary services to the community in South Wales.,Monmouthshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Teresa Ogilvy DENT ,"Chief Executive, Game and Wildlife Conservation Trust. For services to Wildlife Conservation.",Wiltshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Chiwetel EJIOFOR OBE,Actor. For services to Drama.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Jane Elizabeth EVERTON ,"Deputy Director, Planning (Development Plans), Department for Communities and Local Government. For services to Planning.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan FINCH ,"Executive Director, Chichester Festival Theatre.  For services to the Theatre.",West Sussex
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Geoffrey Howard FRENCH ,"Chairman, Scott Wilson and President, Institution of Civil Engineers. For services to Civil Engineering.",Berkshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Angela Mary Cecilia GALLOP ,"Co-founder and Chief Executive, Axiom International Ltd.  For services to Forensic Science.",Oxfordshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael John Stanley GIBBONS OBE,"Chair, Regulatory Policy Committee.  For services to Regulatory Reform.",Gloucestershire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Christopher Aidan GILLIGAN ,"Head of Epidemiology and Modelling Group, University of Cambridge. For services to Plant Health in the field of Epidemiology.",Cambridgeshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor Peter GOLDS OBE,"Councillor, London Borough of Tower Hamlets. For services to Local Government.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen GOLDSTEIN DL,"Chairman and Chief Executive Officer, Alexander Stevens 1995 Ltd.  For services to Business and the community in the West Midlands.",West Midlands
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Norman Griffith GOODWIN ,"Chief Executive, Adoption Matters Northwest. For services to Social Work and Adoption.",Cheshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Rachel GRIFFITH FBA,"Professor of Economics, University of Manchester. For services to Economic Policy.",Greater Manchester
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Loyd GROSSMAN OBE,For services to Heritage.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Elizabeth Anne Howlett HALL ,"Professor of Analytical Biotechnology, University of Cambridge and Chair, Disability Snowsports UK.  For services to Higher Education and to Sport.",Hampshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Simon HALSEY ,Choral Conductor. For services to Music.,Warwickshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,His Honour Iain McCormick HAMILTON ,Lately Senior Circuit Judge and Designated Family Judge for Manchester. For services to Family Justice.,Greater Manchester
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Barbara Shirley HANN ,"Lately Chief Executive, ACE Credit Union Services. For services to the Financially Excluded.",Tyne and Wear
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher HARRISON JP,"Deputy Director, Specialist Delivery Criminal Investigation, HM Revenue and Customs. For services to Revenue Protection and voluntary service to Justice.",North Yorkshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor David Arnold HILL ,"Chairman, Environment Bank and Deputy Chairman, Natural England. For services to Nature Conservation and the Economy.",North Yorkshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Janet Anne HILL ,"Director, Diversity and Inclusion, Department for Work and Pensions. For services to Diversity and Inclusion.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan Andrew HILL ,"Investigator, Independent Commission for the Location of Victims' Remains. For services to the Northern Ireland Peace Process.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Edward John HODDELL ,"Lately Chair, Samaritans UK and Ireland.  For services to Civil Society.",Bristol
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher Charles Maxim HOLE ,"Chairman and Chief Executive Officer, Universal Music Group International.  For services to the Music Industry.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Anthony John HOLLAND ,"Professor of the Psychiatry of Learning Disabilities, University of Cambridge. For services to Psychiatry.",Cambridgeshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter John Gibson HORROCKS ,"Lately Director, BBC World Service Group.  For services to Broadcasting.",Bedfordshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jeremy Michael HUGHES ,"Chief Executive, The Alzheimer's Society.  For services to Older People.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Elaine INGLESBY-BURKE ,"Executive Nurse Director and Deputy Chief Executive, Salford Royal NHS Foundation Trust.  For services to Nursing.",Merseyside
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jeremy Michael ISAACS ,"Chair, Remuneration Committee, Imperial College Healthcare NHS Trust.  For services to the NHS.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor James Anthony JACKSON FRS,"Professor of Active Tectonics, University of Cambridge. For services to Environmental Science.",Cambridgeshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Matthew JEAVONS ,"Chief Executive, Independent Reconfiguration Panel and Director of Commissioning, Specialised Services, NHS England.  For services to the NHS.",West Yorkshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr David Bernard KENNEDY ,"Lately Chief Executive, Committee on Climate Change. For services to the Environment.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan KENT ,Opera and Musical Director. For services to Music and Theatre.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Melanie Jane LEECH ,"Lately Director General, Food and Drink Federation.  For services to the Food and Drink Industry.",West Sussex
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Nusrat LILANI OBE,"Founder and Chair, Women of the Future.  For services to Women in Business.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Ann LIMB OBE DL,For political service.,Buckinghamshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Helen Margaret MAHY ,"For services to Business and voluntary service, particularly to the Legal Profession and Diversity in the Workplace.",Surrey
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Kenneth MASON ,"Head of Directorate for Economic Development, Scottish Government. For public service to Business and Major Events.",West Lothian
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Alexander MATHESON ,"Director of Health Finance, e-Health and Analytics, Scottish Government.  For services to Healthcare.",Edinburgh
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire, Clare Elizabeth MATTERSON ,"Director of Strategy, Wellcome Trust.  For services to Public Engagement with Science.",Suffolk
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Heather MCGREGOR ,"For services to Business, especially Employment Skills and Diversity in the Workplace.",Oxfordshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Lady Nicola MENDELSOHN ,"Co-Chair, Creative Industries Council and Vice President, Europe, Middle East and Africa, Facebook. For services to Creative Industries.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Theresa MIDDLETON ,"Director, Business Customer and Strategy, London, HM Revenue and Customs. For services to Small Businesses.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Andrew Harold MITCHELL ,"Lately Programme Director, Crossrail.   For services to Civil Engineering.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Chaand NAGPAUL ,"Chair, General Practitioners Committee, British Medical Association.  For services to Primary Care.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Amanda NEVILL ,"Chief Executive, British Film Institute. For services to the Film Industry.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Elizabeth NICHOLL OBE,"Chief Executive, UK Sport.  For services to Sport.",Hertfordshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Jonathan Paul NICHOLL ,"Dean, School for Health and Related Research, University of Sheffield.  For services to Health Research.",South Yorkshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Carole Ann OATWAY ,"Chief Executive, Criminal Injuries Compensation Authority. For services to Victims of Crime.",Glasgow
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Diana OWEN ,"Chief Executive and Trustee, LEAD Academy Trust.  For services to Education.",Nottinghamshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Lynne Gillian OWENS QPM,"Chief Constable, Surrey Police. For services to Policing and Criminal Justice.",Surrey
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Hamid PATEL ,"Chief Executive, Tauheedul Education.  For services to Education.",Lancashire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Charles William PLANT ,"Chair, Solicitors Regulation Authority Board. For services to Legal Education and Regulation.",Kent
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alexander Moinet POOTS ,"Chief Executive Officer and Artistic Director, Manchester International Festival. For services to the Arts.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Christina Ann POTTER ,"Principal, Dundee and Angus College.  For services to Education.",Edinburgh
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard Alan PYM ,"Chairman, UK Asset Resolution. For services to Taxpayers and Financial Stability.",Hertfordshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Christina Henking Muller REES ,For services to the Church of England.,Hertfordshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Andrew John McGlashan RICHARDS ,"Chairman, Ixico, Abcodia, Congenica, Novacta.  For services to Investment in the Life Sciences Industry.",Cambridgeshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Edward Charles RICHARDS ,"Lately Chief Executive, Office of Communications.  For services to the Media, Telecomms and Communications Markets.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter ROBERTS ,"Principal, Leeds City College.  For services to Further Education.",West Yorkshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Jaee Kamalnath SAMANT ,"Director, Labour Market Policy, Department for Business, Innovation and Skills. For services to the Reform of Social Policy.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Judge Derek SEARBY TD,Lately District Tribunal Judge.  For services to the Administration of Justice and the Tribunals Judiciary.,West Yorkshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Malcolm SHEPHERD ,"Chief Executive Officer, Sustrans. For services to Transport and the Environment.",Bristol
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Neil Roger SHERLOCK ,For public and political service.,Surrey
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Hari Prasad Mohan Lal SHUKLA OBE,For services to Interfaith and to the community in Tyne and Wear.,Tyne and Wear
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Louise Isabelle SILVERTON ,For services to Midwifery and Maternal and Child Health.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor David SIMMONDS ,"Deputy Leader, London Borough of Hillingdon and Executive Member, Local Government Association. For services to Children, Families and Local Government.",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Dominic Crispin Adam SIMON ,"Lately Managing Director, Trade Group, UK Trade and Investment. For services to the Development of Trade for UK Exporters.",Somerset
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nathaniel Lester SLOANE ,For services to Venture Philanthrophy and Social Investment.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Gillian Mary SLOCOMBE ,Chief Guide.  For services to Girls and Young Women.,Somerset
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Anthony David STEEN ,"Chairman, the Human Trafficking Foundation. For services to Fighting Modern Day Slavery",London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Carole STONE ,For services to Market Research and to charity.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Yvonne Anne STRACHAN OBE,"Head of Equality, Human Rights and Third Sector, Scottish Government.  For services to Equality.",East Lothian
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Andrew John STREET ,"Managing Director, John Lewis plc.  For services to Economic Growth and Chair, Greater Birmingham and Solihull Local Enterprise Partnership.",Northamptonshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Francesca SULKE ,"Executive Director, Children and Young People, Lewisham, London. For services to Education.",West Sussex
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter John Charles TROUGHTON ,"Pro-Chancellor and lately Chair of Council, Universty of Bath.  For services to Business, Education and Culture.",Wiltshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Mark-Anthony TURNAGE ,Composer. For services to Music.,London
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Edmund Arthur WALLIS ,For services to Business and Charity.,Bristol
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Sara Vivienne WELLER ,For public service.,Hampshire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Nigel Gordon WHITEHEAD FRENG,"Group Managing Director Programmes and Support, BAE Systems and Commissioner, UKCES.  For services to Vocational Education and Skills.",Lancashire
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan Peter WILKINSON OBE,For services to Rugby Union.,Northumberland
Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Lena Cooper WILSON ,"Chief Executive, Scottish Enterprise.  For services to Economic Development in Scotland.",Glasgow
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Kenneth ADDLEY ,"Director of Occupational Health Service, Northern Ireland Civil Service.  For services to Occupational Health.",Belfast
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Mark Isaac ADLESTONE ,For services to Business and Charity in the North of England.,Greater Manchester
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr David AHERN ,"Chief Executive Officer, Shannon Trust. For services to Prisoners and the community.",Oxfordshire
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Sidney Christopher ALFORD ,"Founder and Chairman, Alford Technologies Ltd. For services to Explosive Ordnance Disposal Technology.",Wiltshire
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Sharon Jane ALLEN ,"Chief Executive Officer, Skills for Care.  For services to Social Care, Homeless People and Housing.",Cambridgeshire
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr James ANDERSON ,Cricketer.  For services to Cricket.,Greater Manchester
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Brig John Anthony ANDERSON ,"Chairman, The Gurkha Brigade Association.  For services to the Gurkha Regiments.",Berkshire
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,His Grace Bishop Anba ANGAELOS ,General Bishop of the Coptic Orthodox Church in the UK. For services to International Religious Freedom.,Hertfordshire
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Karen Andersen ARMSTRONG ,Author. For services to Literature and Interfaith Dialogue.,London
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Mark Edward ASTARITA ,"Director of Fundraising, British Red Cross.  For services to Emergency First Aid and Fundraising.",Essex
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Janet ATHERTON ,"President, Association of Directors of Public Health.  For services to Public Health.",Merseyside
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Elaine ATKINSON ,"Leader, Borough of Poole.  For services to Local Government.",Dorset
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Mary Ann Georgina AUCKLAND ,"Head of Campaigns and Marketing, External Communications, Department for Communities and Local Government.  For public service, particularly to Fire Safety.",London
Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Andrew David BACON ,"Lately Chair, Leicester and Leicestershire Local Enterprise Partnership and Lately Director, British Gas/Centrica.  For services to Business and the Economy.",Leicestershire
