Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Elizabeth BURNLEY ,"Chief Guide, Girlguiding UK.  For services to Young People.",South Yorkshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Rodney Paul CARR OBE,"Lately Chief Executive, Royal Yachting Association.  For services to Sailing.",Hampshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Freda CHALONER ,"Director, Large Business Service, HM Revenue and Customs.",Hertfordshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan CLARKE ,"Deputy Director, Curriculum and Pupil Well Being, Schools Directorate, Department for Children, Schools and Families.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter Derrick CLEMINSON ,"Lately National Chairman, Royal British Legion.  For voluntary service to Ex-Servicemen and Women.",Buckinghamshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter COLLINS ,"Chief Executive, Salford Foundation Charity.  For services to Young People.",Greater Manchester
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Bryan DAVIS ,"Chief Executive, Social Security Agency Department for Social Development, Northern Ireland Executive.",Down
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Linda Mary DE COSSART ,"Consultant Vascular and General Surgeon, Countess of Chester Hospital.  For services to Medicine.",Gloucestershire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Stephen DEUCHAR ,Lately Director Tate Britain.  For services to Art.,Kent
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Colin DODGE ,"Executive Vice-President of Africa, Middle East, India, Europe Operations, Nissan Motors Ltd.  For services to the Automotive Industry.",Japan
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Judge Khurshid Hassan DRABU ,For services to Community Relations.,Hampshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Marshall Paul ELLIOTT ,For public service.,Kent
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr David Stuart ENGLISH MBE,For services to Cricket and to Charity.,London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Brian ETHERIDGE ,"Director, Civil Service Capability Group, Cabinet Office.",Hampshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Andrew FINLAY ,"Lately Professor of Dermatology, Cardiff University.  For services to Medicine.",South Glamorgan
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen James FINNIGAN QPM,"Chief Constable, Lancashire Constabulary.  For services to the Police.",Merseyside
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Siobhan FITZPATRICK ,"Chief Executive, Early Years Organisation.  For services to Education in Northern Ireland.",Down
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter John FREEMAN QC,"Chairman, Competition Commission.  For public service.",Somerset
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Anne GALBRAITH OBE,"Chair, Valuation Tribunal Service.  For public service.",Northumberland
