Birthday,2015,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr William David Adams HAIRE ,"Permanent Secretary, Department for Social Development Northern Ireland Executive.  For services to Government in Northern Ireland.",Antrim,
Birthday,2015,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Oliver ROBBINS ,"Director General, Civil Service, Cabinet Office.  For public service.",London,
Birthday,2015,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Jacqueline SHARPE ,"Acting Clerk Assistant, House of Commons. For parliamentary service.",London,
Birthday,2015,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mrs Helen SHIRLEY-QUIRK ,"Director, Emergency Preparedness, Resilience and Response, Department of Health.  For services to Public Health Protection.",Berkshire,
Birthday,2015,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Ms Patsy WILKINSON MBE,Ministry of Defence.  For services to Defence.,London,
Birthday,2015,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Peter Richard WORRALL OBE,"Chief of Materiel (Joint Enablers), Ministry of Defence. For services to Defence.",Wiltshire,
Birthday,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Frances Mary ASHCROFT FRS,"Professor of Physiology, University of Oxford.  For services to Medical Science and the Public Understanding of Science.",Oxfordshire,
Birthday,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Victoria Geraldine BRUCE OBE FBA FRSE,"Vice-President for Public Engagement, British Academy and Professor of School of Psychology, Newcastle University.  For services to Higher Education and Psychology.",Northumberland,
Birthday,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Frances Anne CAIRNCROSS CBE FRSE,"Lately Rector, Exeter College, University of Oxford. For services to Higher Education and to Economics.",London,
Birthday,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Lesley Anne GLOVER CBE FRSE,Lately Chief Scientific Adviser to the President of the European Commission.  For services to Science.,Aberdeenshire,
Birthday,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Zarine KHARAS ,"Founder and Chief Executive, JustGiving.com.  For services to Business and Charity.",London,
Birthday,2015,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Dr Nemat Talaat SHAFIK ,"Lately Deputy Managing Director, International Monetary Fund. For services to Public Administration and the Global Economy.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert Gribben ADAIR ,"Chief Executive, Belfast Harbour Commissioners. For services to the UK Ports Industry and voluntary service to Business in Northern Ireland.",Belfast,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr James Noel ADAMS FBA,"Emeritus Fellow, All Souls College, University of Oxford.  For services to Latin Scholarship.",Cheshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alexander Beveridge ANDERSON OBE DL FRENG,"Chair, Tees Valley Local Enterprise Partnership.  For services to the Tees Valley Region.",Durham,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Jane ANDERSON ,"Consultant Physician and Director, Centre for the Study of Sexual Health and HIV, Homerton Hospital.  For services to HIV Medicine and Sexual Health Research.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Clarissa Mary BALDWIN OBE,"Lately Chief Executive, Dogs Trust. For services to Animal Welfare.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Maria Jane BALSHAW ,"Director, Whitworth Art Gallery and Manchester Art Gallery. For services to the Arts.",Greater Manchester,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan Roy BLAIR ,Documentary Filmmaker. For services to Film.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Thomas Michael BOND OBE,Author. For services to Children's Literature.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John Richard BRADLEY ,"Consultant Physician and Nephrologist, Cambridge University Hospitals NHS Foundation Trust.  For services to Health Research.",Cambridgeshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Roderick Hilary BROOKS ,Philanthropist.  For charitable services through the Rory and Elizabeth Brooks Foundation and to the Brooks World Poverty Institute at the University of Manchester.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Donal BROWN ,"Lately Director, UK Joint Ebola Taskforce.  For services to International Development.",Hampshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robin BUDENBERG ,"Lately Chairman, UK Financial Investments. For services to Taxpayers and the Economy.",Essex,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Neill BULL ,"Chief Executive, UNICEF UK. For humanitarian services.",Buckinghamshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Carol BURKE FRENG,"Managing Director, Unipart Manufacturing Group.  For services to Engineering.",West Midlands,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Graham Douglas CAIE ,For services to Education and Research in Britain and Europe and to Native Languages.,Glasgow,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John Charles CATER ,"Vice-Chancellor, Edge Hill University.  For services to Higher Education and Teacher Training.",Greater Manchester,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan CHURCH ,"Artistic Director, Chichester Festival Theatre.  For services to the Theatre.",West Sussex,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Greg CLARK ,For services to Economic Development.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John CONNAGHAN ,"Director for Health Workforce and Performance, Scottish Government. For services to NHS Scotland.",Edinburgh,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Julian Moray CRAMPTON DL,"Vice Chancellor, University of Brighton.  For services to Higher Education.",East Sussex,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Benedict Timothy Carlton CUMBERBATCH ,Actor.  For services to the Performing Arts and to Charity.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Nicola Whitmount DANDRIDGE ,"Chief Executive, Universities UK.  For services to Higher Education.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Priscilla Elizabeth DAVIES OBE,For voluntary services to the community in South Wales.,Monmouthshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Teresa Ogilvy DENT ,"Chief Executive, Game and Wildlife Conservation Trust. For services to Wildlife Conservation.",Wiltshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Chiwetel EJIOFOR OBE,Actor. For services to Drama.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Jane Elizabeth EVERTON ,"Deputy Director, Planning (Development Plans), Department for Communities and Local Government. For services to Planning.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan FINCH ,"Executive Director, Chichester Festival Theatre.  For services to the Theatre.",West Sussex,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Geoffrey Howard FRENCH ,"Chairman, Scott Wilson and President, Institution of Civil Engineers. For services to Civil Engineering.",Berkshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Angela Mary Cecilia GALLOP ,"Co-founder and Chief Executive, Axiom International Ltd.  For services to Forensic Science.",Oxfordshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael John Stanley GIBBONS OBE,"Chair, Regulatory Policy Committee.  For services to Regulatory Reform.",Gloucestershire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Christopher Aidan GILLIGAN ,"Head of Epidemiology and Modelling Group, University of Cambridge. For services to Plant Health in the field of Epidemiology.",Cambridgeshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor Peter GOLDS OBE,"Councillor, London Borough of Tower Hamlets. For services to Local Government.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen GOLDSTEIN DL,"Chairman and Chief Executive Officer, Alexander Stevens 1995 Ltd.  For services to Business and the community in the West Midlands.",West Midlands,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Norman Griffith GOODWIN ,"Chief Executive, Adoption Matters Northwest. For services to Social Work and Adoption.",Cheshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Rachel GRIFFITH FBA,"Professor of Economics, University of Manchester. For services to Economic Policy.",Greater Manchester,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Loyd GROSSMAN OBE,For services to Heritage.,London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Elizabeth Anne Howlett HALL ,"Professor of Analytical Biotechnology, University of Cambridge and Chair, Disability Snowsports UK.  For services to Higher Education and to Sport.",Hampshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Simon HALSEY ,Choral Conductor. For services to Music.,Warwickshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,His Honour Iain McCormick HAMILTON ,Lately Senior Circuit Judge and Designated Family Judge for Manchester. For services to Family Justice.,Greater Manchester,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Barbara Shirley HANN ,"Lately Chief Executive, ACE Credit Union Services. For services to the Financially Excluded.",Tyne and Wear,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher HARRISON JP,"Deputy Director, Specialist Delivery Criminal Investigation, HM Revenue and Customs. For services to Revenue Protection and voluntary service to Justice.",North Yorkshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor David Arnold HILL ,"Chairman, Environment Bank and Deputy Chairman, Natural England. For services to Nature Conservation and the Economy.",North Yorkshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Janet Anne HILL ,"Director, Diversity and Inclusion, Department for Work and Pensions. For services to Diversity and Inclusion.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jonathan Andrew HILL ,"Investigator, Independent Commission for the Location of Victims' Remains. For services to the Northern Ireland Peace Process.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stephen Edward John HODDELL ,"Lately Chair, Samaritans UK and Ireland.  For services to Civil Society.",Bristol,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher Charles Maxim HOLE ,"Chairman and Chief Executive Officer, Universal Music Group International.  For services to the Music Industry.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Anthony John HOLLAND ,"Professor of the Psychiatry of Learning Disabilities, University of Cambridge. For services to Psychiatry.",Cambridgeshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter John Gibson HORROCKS ,"Lately Director, BBC World Service Group.  For services to Broadcasting.",Bedfordshire,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jeremy Michael HUGHES ,"Chief Executive, The Alzheimer's Society.  For services to Older People.",London,
Birthday,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Elaine INGLESBY-BURKE ,"Executive Nurse Director and Deputy Chief Executive, Salford Royal NHS Foundation Trust.  For services to Nursing.",Merseyside,
