New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Colin DENNIS DL,For services to the Agri-food Industry.,Warwickshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David Keith DINGLE ,"Chief Executive Officer, Carnival UK.  For services to the Shipping Industry.",Kent
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ben Paul Oakley DYSON ,"Director of Primary Care, Department of Health.",London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Leslie Colin EBDON ,"Vice-Chancellor, University of Bedfordshire.  For services to local and national Higher Education.",Hertfordshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Keith ELLIOTT ,"Principal, City of Bristol College.  For services to Further Education.",Bristol
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard John Hugo FLECK ,"Chair, Auditing Practices Board.  For services to Business and to the Legal Profession.",West Sussex
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David George FLORY ,"Director-General, NHS Finance, Performance and Operations, Department of Health.",Durham
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr John Christopher FREEMAN ,"Director, Children's Services, Dudley Metropolitan Borough Council.  For services to Local Government.",West Midlands
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Duncan Ian Dunbar GALLIE ,"Official Fellow, Nuffield College, University of Oxford.  For services to Social Science.",Warwickshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Judith Valerie GIBSON ,"Director of Contact Centres, Jobcentre Plus, Department for Work and Pensions.  For public and voluntary service.",Tyne and Wear
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Lesley Anne GLOVER ,Chief Scientific Adviser for Scotland.  For services to Environmental Science.,Aberdeenshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Bryan Mark GRAY MBE,"Chair, North West Regional Development Agency.  For services to Business and to the community in the North West.",Lancashire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Wynne Philip Morgan GRIFFITHS ,"Chief Executive, Young's Seafood Limited.  For services to the Food Industry.",Lincolnshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Ian HALLIDAY ,"Chief Executive, Scottish Universities Physics Alliance and President, European Science Foundation.  For services to Science.",Edinburgh
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Patricia Anne HAMILTON ,"President, Royal College of Paediatrics and Child Health.  For services to Medicine.",London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Sue HAMMERSON OBE,For charitable services.,London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Hugh Christopher Emlyn HARRIS ,"Founder, London First Global Network.  For voluntary service to Community Relations in the City of London.",Kent
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Charles Donald HENDRY QFSM,"Chief Fire Officer, Kent Fire and Rescue Service.  For services to Local Government.",Kent
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James Felton Somers HERVEY-BATHURST ,"Lately President, Historic Houses Association.  For services to Heritage.",Herefordshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert David HOLDEN ,"Chief Executive Officer, London and Continental Railways Ltd.  For services to the Rail Industry.",Hertfordshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr William Andrew Myers HOLROYD OBE,"Lately President, Law Society.  For services to the Administration of Justice.",Merseyside
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Owain Arwel HUGHES OBE,Conductor. For services to Music and to Charity.,Middlesex
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jeremy Robin Powis HYDE ,HM Deputy Chief Inspector of the Crown Prosecution Service.,Surrey
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John Gordon JENKINS ,"Consultant Paediatrician, Waveney and Antrim Hospitals.  For services to Medicine in Northern Ireland.",Antrim
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter JONES ,"For services to Business, Entrepreneurship and to Young People.",Buckinghamshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr James JUFFS ,"Chief Operating Officer, Debt Management Office, HM Treasury.  For public and voluntary service.",Essex
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,His Honour Judge Geoffrey Harvey KAMIL ,Circuit Judge.  For services to the Administration of Justice.,West Yorkshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Tarun KAPUR ,"Executive Headteacher, Ashton-on-Mersey and Broadoak Schools, Trafford.  For services to Education.",Cheshire
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr William James Gregory KEEGAN ,For services to Financial Journalism.,London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Thomas Burton Loram KIRKWOOD ,"Professor of Medicine and Director, Institute for Ageing and Health, Newcastle University.  For services to Medical Science.",Northumberland
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Melanie LEE ,"Executive Vice-President, UCB and Deputy Chairman, Cancer Research UK.  For services to Medical Science.",London
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Ian LEITCH ,"Director of Resources and Governance, Scottish Parliament.",Edinburgh
New Year,2009,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Linda LENNON ,"Area Director, Her Majesty's Courts Service, Ministry of Justice.",Surrey
