New Year,2013,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Stephen Augustus LOVEGROVE ,"Chief Executive, Shareholder Executive.  For services to the Government as Shareholder.",London
New Year,2013,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mr Oswyn George PAULIN ,"Head of Government Legal Service, Northern Ireland Executive.  For services to Government in Northern Ireland and voluntary service through the Scout Association",Belfast
New Year,2013,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Mrs Alison SAUNDERS ,"Chief Crown Prosecutor for London, Crown Prosecution Service.  For services to Law and Order especially after the 2011 London Riots.",London
New Year,2013,Companions of the Order of the Bath,CB,Companion of the Order of the Bath,Dr Michael William WEIGHTMAN ,"Her Majesty's Chief Nuclear Inspector, Office for Nuclear Regulation, Health and Safety Executive.  For services to the Improvement of Nuclear Safety",Cheshire
New Year,2013,Knights Grand Cross of the Order of the British Empire,GBE,Knight Grand Cross of the Order of the British Empire,Sir Alan Peter BUDD ,For services to Economic Policy and the Office for Budget Responsibility.,London
New Year,2013,Knights Grand Cross of the Order of the British Empire,GBE,Knight Grand Cross of the Order of the British Empire,Sir Keith Edward MILLS ,"Deputy Chair, LOCOG.  For services to the London 2012 Olympic and Paralympic Games.",London
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Rt Hon Margaret Mary BECKETT MP,For public and political service.,Derbyshire
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Dr Christine BRADDOCK CBE,"Principal and Chief Executive, Birmingham Metropolitan College.  For services to Further Education.",Worcestershire
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Sally COATES ,"Principal, Burlington Danes Academy, Hammersmith.  For services to Education.",London
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Sarah Ann COWLEY ,For services to Health Visiting.,Dorset
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Nancy HALLETT OBE,"Former Chief Executive, Homerton University Hospital NHS Foundation Trust.  For services to Healthcare.",London
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Helen HYDE ,"Headmistress, Watford Grammar School for Girls, Hertfordshire, and President, Foundation and Aided Schools National Association.  For services to Education.",Hertfordshire
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Joan MCVITTIE ,"Headteacher, Woodside High School, Haringey, and Past President, Association of School and College Leaders.  For services to Education.",London
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Priscilla Jane NEWELL OBE JP,For services to the Pension Industry and to Charity.,London
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Vicki PATERSON ,"Executive Headteacher, Brindishe Green School, Brindishe Lee School and Lee Manor School, Lewisham.  For services to Education.",London
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Carol Vivien ROBINSON ,"Professor of Physical Chemistry, University of Oxford.  For services to Science and Industry.",Oxfordshire
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Mrs Sarah Joanne STOREY OBE,Cyclist.  For services to Para-Cycling.,Greater Manchester
New Year,2013,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Angela Eileen WATKINSON ,Member of Parliament for Hornchurch and Upminster.  For public and political service.,London
New Year,2013,Knights Commander of the Order of the British Empire,KBE,Knight Commander of the Order of the British Empire,Lord Paul Clive DEIGHTON ,"Chief Executive Officer, LOCOG.  For services to London 2012 Olympic and Paralympic Games.",London
