,,Birthday Honours List 2011,,,,,
New Year,List,Order,Level,Award,Name,Citation,County
Birthday,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Dr Reena KEEBLE ,"Headteacher, Cannon Lane First School, London Borough of Harrow.  For services to local and national Education.",Middlesex
Birthday,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Professor Sally MACINTYRE CBE,"Professor, Social and Public Health Science, University of Glasgow.  For services to Science.",Glasgow
Birthday,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Ms Jennifer Susan MURRAY OBE,"Presenter, Woman's Hour, BBC.  For services to Radio Broadcasting.",London
Birthday,2011,Dames Commander of the Order of the British Empire,DBE,Dame Commander of the Order of the British Empire,Miss Janet SUZMAN ,Actor.  For services to Drama.,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Edward ATKIN ,For services to Industry and to charity through the Atkin Foundation,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Rosie AULD ,"Head Orthoptist, Birmingham and Midland Eye Centre and Honorary Chair, British and Irish Orthoptic Society.  For services to Healthcare.",Warwickshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Gillian AYRES OBE,For services to Art.,Cornwall
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan James BAXTER ,For services to Engineering and to Conservation.,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Kate BILLINGHAM ,"Project Director, Health Led Parenting and First Years of Life, Department of Health.",South Yorkshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Celia BIRTWELL ,Designer. For services to the Fashion Industry.,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr William James BRAWN ,"Consultant Cardiothoracic Surgeon, Birmingham Children’s Hospital. For services to Medicine.",West Midlands
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr John Robert BROWN ,"Chairman, Roslin Foundation.  For services to Science.",Edinburgh
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor John BROWNLIE ,"Emeritus Professor of Veterinary Pathology, Royal Veterinary College.  For services to Science.",Hertfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Catherine Felicity BYRNE ,"Deputy Director, Office for Security and Counter-Terrorism, Home Office.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Margaret Jennifer Murray CARPENTER ,"Consultant in Public Health Medicine, Department of Health.",North Yorkshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Christopher Richard Nigel CLARK ,"Non-Executive Chairman, Urenco. For services to Industry.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Alan CLARKE ,"Chief Executive, One North East. For services to Regeneration.",Tyne and Wear
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Elizabeth Anne COCKRAM ,For services to the Voluntary Sector.,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Mark DAVIES ,"Director, Health Inequalities and Partnership, Department of Health.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor William DAVIES ,"Director, Centre for Sustainable Agriculture, Lancaster University.  For services to Science.",Lancashire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Justin DAVIS-SMITH ,For services to the Voluntary Sector.,Hertfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Melvyn Stuart DRAPER ,"Lately Head, Non-Proliferation, Department of Energy and Climate Change.",Bedfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Jenny EDWARDS ,"Chief Executive, Homeless Link.  For services to Disadvantaged People.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Peter ELIAS ,"Professor of Employment Research, University of Warwick.  For services to Social Science.",West Midlands
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Peter Anthony FARNDON ,"Director, National Genetics Education and Development Centre and Consultant Clinical Geneticist, Birmingham. For service to Medicine.",West Midlands
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Bryan FERRY ,Singer and Songwriter.  For services to Music.,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Colin FIRTH ,Actor.  For services to Drama.,London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Brian George GAZZARD ,"Professor of HIV Medicine and Clinical Research Director for HIV/GUM, Chelsea and Westminster Hospital NHS Foundation Trust, London. For services to Healthcare.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Christopher Shaw GIBSON-SMITH ,"Chairman, London Stock Exchange. For services to Business.",Surrey
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Paul GOLBY ,"Chief Executive Officer, E.ON UK. For services to the Energy Industry.",Warwickshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Stanley James GOUDIE ,"Lately Chief Inspector, Education and Training Inspectorate, Department of Education, Northern Ireland Executive.",Antrim
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Michael GRANDAGE ,"Artistic Director, Donmar Warehouse.  For services to Drama.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Joseph GREENWELL ,"Chairman, Ford of Britain.  For services to the Automotive Industry.",Warwickshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Gisli Hannes GUDJONSSON ,For services to Clinical Psychology.,Surrey
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Serena Mary Sara HARDY ,"Director, Personal Tax, Benefits and Credits and Corporate Services, Solicitor's Office, London, HM Revenue and Customs.",Berkshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Terence Malcolm HILL ,"Chairman, Arup Group . For services to Civil Engineering.",Hertfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Christopher Cropper HOOD ,"Gladstone Professor of Government, University of Oxford and Fellow, All Souls College.  For services to Social Science.",Oxfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Michael Gilbert James William HOWSE OBE,"Senior Consultant, Rolls-Royce plc.  For services to Engineering.",Staffordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Trevor William HUDDLESTON ,"Director, Strategy Directorate, Department for Work and Pensions.",Cambridgeshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Mark HUFFAM ,Producer.  For services to the Film and Television Industries.,Buckinghamshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Penny HUGHES ,"President, Advertising Association.  For services to the Media Industry.",Middlesex
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert HUMM ,"Director, Litigation, Solicitor's Office, HM Revenue and Customs, London.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr David ISAAC ,"Chairman, Stonewall.  For services to Equality and Diversity.",London
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Charles William JACOB MBE,For charitable services.,Kent
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter John JAMES ,"Lately Principal, London Academy of Music and Dramatic Art.  For services to the Arts.",Surrey
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Wendy Rosalind JAMES FBA,"Emeritus Professor of Social Anthropology, University of Oxford.  For services to Scholarship.",Oxfordshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Dianne Michele JEFFREY DL,For public service.,Derbyshire
Birthday,2011,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Merfyn JONES ,"Lately Vice-Chancellor, Bangor University.  For services to Higher Education in Wales.",Gwynedd
